team1,team2,team1_score,team2_score,team1_raids_total,team2_raids_total,team1_tackle_total,team2_tackle_total,team1_tackles_unsuccessful,team2_tackles_unsuccessful,team1_raids_unsuccessful,team2_raids_unsuccessful,team1_super_raids,team2_super_raids,team1_super_tackles,team2_super_tackles,toss_winner,toss_selection,home_team_id,home_team_name,winner
Dabang Delhi K.C.,Puneri Paltan,35,24,45,44,22,22,11,15,7,11,1,1,2,0,2,Choice of court :Right,2,Dabang Delhi K.C.,Dabang Delhi K.C.
Patna Pirates,Gujarat Fortunegiants,27,45,43,43,30,25,19,8,17,11,0,2,2,0,6,Choice of court :Right,,,Gujarat Fortunegiants
Dabang Delhi K.C.,Telugu Titans,34,29,40,40,20,21,13,15,6,9,0,0,2,0,2,Choice of court :Right,2,Dabang Delhi K.C.,Dabang Delhi K.C.
Dabang Delhi,Puneri Paltan,38,37,40,41,28,22,22,18,6,9,,,,,7,Choice of court :Left,,,Dabang Delhi
Haryana Steelers,Bengal Warriors,35,33,41,42,29,19,20,14,6,9,0,1,1,1,28,Choice of court :Right,,,Haryana Steelers
Dabang Delhi K.C.,Bengaluru Bulls,32,31,41,40,20,21,11,16,6,9,1,0,1,0,1,Choice of court :Left,2,Dabang Delhi K.C.,Dabang Delhi K.C.
U.P. Yoddha,Haryana Steelers,30,29,40,40,24,20,15,15,6,9,0,2,0,0,30,Choice of court :Right,,,U.P. Yoddha
Dabang Delhi K.C.,Tamil Thalaivas,37,33,38,37,26,17,17,13,7,10,0,0,1,0,29,Choice of court :Left,2,Dabang Delhi K.C.,Dabang Delhi K.C.
Telugu Titans,Gujarat Fortunegiants,27,29,44,43,23,18,17,13,7,8,1,0,0,0,8,Choice of court :Right,8,Telugu Titans,Gujarat Fortunegiants
Patna Pirates,Puneri Paltan,53,36,42,42,28,36,17,31,6,12,1,1,1,2,6,Choice of court :Right,,,Patna Pirates
U Mumba,Bengal Warriors,31,20,43,43,19,18,8,10,9,11,0,0,2,0,4,Choice of court :Left,,,U Mumba
Telugu Titans,Jaipur Pink Panthers,36,26,41,41,22,22,12,16,6,10,1,0,0,1,3,Choice of court :Left,8,Telugu Titans,Telugu Titans
Tamil Thalaivas,Jaipur Pink Panthers,24,37,42,43,24,24,17,10,14,8,0,1,0,1,29,Choice of court :Right,,,Jaipur Pink Panthers
Telugu Titans,Haryana Steelers,35,31,45,44,23,18,14,11,7,9,1,0,6,0,8,Choice of court :Right,8,Telugu Titans,Telugu Titans
Bengal Warriors,U Mumba,25,29,40,40,22,20,10,8,13,12,,,,,4,Choice of court :Right,,,U Mumba
Dabang Delhi K.C.,U Mumba,19,44,41,41,26,22,19,7,15,7,1,1,1,0,2,Choice of court :Right,,,U Mumba
Telugu Titans,U.P. Yoddha,20,27,44,44,20,18,12,7,12,8,0,0,1,0,8,Choice of court :Right,8,Telugu Titans,U.P. Yoddha
Haryana Steelers,Gujarat Fortunegiants,37,47,44,45,33,31,26,20,11,7,1,1,1,1,28,Choice of court :Right,,,Gujarat Fortunegiants
Telugu Titans,Bengaluru Bulls,24,37,43,44,23,20,15,7,14,8,0,0,0,0,1,Choice of court :Left,8,Telugu Titans,Bengaluru Bulls
Telugu Titans,Patna Pirates,41,36,47,47,30,25,16,18,7,14,1,0,0,3,6,Choice of court :Left,8,Telugu Titans,Telugu Titans
Jaipur Pink Panthers,Puneri Paltan,36,23,43,42,25,23,10,14,9,15,0,0,2,0,7,Choice of court :Left,3,Jaipur Pink Panthers,Jaipur Pink Panthers
Bengal Warriors,Tamil Thalaivas,28,21,44,44,19,20,9,11,9,10,1,0,0,1,4,Choice of court :Right,,,Bengal Warriors
U.P. Yoddha,Tamil Thalaivas,25,25,44,44,18,17,12,10,9,8,0,0,0,1,30,Choice of court :Right,,,Match Tied
Jaipur Pink Panthers,U Mumba,35,35,45,45,26,27,17,17,11,9,1,0,1,0,5,Choice of court :Left,3,Jaipur Pink Panthers,Match Tied
Patna Pirates,U.P. Yoddha,31,47,46,45,27,27,19,14,14,8,1,1,1,0,30,Choice of court :Left,,,U.P. Yoddha
Bengaluru Bulls,Puneri Paltan,31,26,42,43,18,17,11,11,7,9,,,,,1,Choice of court :Right,,,Bengaluru Bulls
Jaipur Pink Panthers,Gujarat Fortunegiants,29,34,46,47,21,25,14,13,12,9,1,1,2,1,31,Choice of court :Left,3,Jaipur Pink Panthers,Gujarat Fortunegiants
Bengaluru Bulls,Telugu Titans,44,28,41,40,22,28,11,21,7,13,0,1,1,2,8,Choice of court :Left,,,Bengaluru Bulls
